model_id,seed,mean_abs_pairwise_correlation,singular_values,effective_rank,interaction_scores
classical_matched,11,0.9402534228051636,"[19.35183995354827, 3.3361392698413543]",1.5182339393773145,"[0.0775030503524711, 0.2557722599000933]"
classical_matched,23,0.8884008595534216,"[9.94172882670624, 2.3462732122625525]",1.6283762525761039,"[0.10413895398523483, 0.0068252376587103125]"
classical_matched,37,0.8388775334853148,"[13.621547541997234, 4.017735466226986]",1.7101314276225668,"[0.04609812815786608, 0.11549632264084354]"
classical_standard,11,0.6823382674472358,"[41.424562383908025, 13.81070198524674, 3.85941039422673, 2.138844689808256, 0.742011734412653, 0.5127918974144168, 0.3294429176043423, 0.1790771663026738, 0.1129389816351786, 0.08664975013235644, 0.045228183735207664, 0.02576619838262266, 0.015757447610864613, 0.007775299588739948, 0.005303895176665633, 0.0033464288563027867, 0.0025083871872150793, 0.0019728449095367294, 0.001545824285465224, 0.0009469758155541214, 0.0006457963130820252, 0.00019316637888217519, 0.0001532038758801941, 0.00010973410521311738, 5.15489975190317e-05, 3.882660779348386e-05, 1.3894813722272367e-05, 1.0589248868497541e-05, 7.2229146499635245e-06, 5.645626821124538e-06, 4.281423002727912e-06, 1.6505979568755105e-06]",2.8988021777355026,"[0.01907712285105082, 0.16955189600848544, 0.0007685712003117576, 0.013386136380063234, 0.027849642349150338, 0.06899817288712264, 0.008480295413070764, 0.02604746268153187, 0.06811013048450104, 0.1051080921185163, 0.10834546180534833, 0.04829940615495937, 0.18104581950127296, 0.002919966508947409, 0.041948086973191495, 0.16571257935632575, 0.028601706071974025, 0.19908401177922144, 0.18682494719990309, 0.007009921521365004, 0.06969681671956718, 0.014759309003286057, 0.007082077117460716, 0.0028039976426507025, 0.0057895778466813316, 0.003676769809628338, 0.014698891474511696, 0.00034701507320678975, 0.013991358535166481, 0.0024513294265986244, 0.13125948858668085, 0.17728983552025013]"
classical_standard,23,0.7421639051308557,"[43.08095421183337, 16.374394847923337, 3.2414985773277762, 1.5336438363404552, 0.7691401981606949, 0.5529779357418017, 0.4337099926971741, 0.23944922293806362, 0.07981556920175724, 0.040631094643819726, 0.033400449430499926, 0.022722570769276886, 0.01827785755716221, 0.00922274661414806, 0.007002326096139114, 0.004790781248700337, 0.0035509089987543025, 0.001733809232714493, 0.000977271588403712, 0.0007903154831899546, 0.0004187953414345219, 0.00029890209704269244, 0.00024444758851516776, 0.00014857123924662637, 0.00012018619723165428, 6.303432078039196e-05, 4.0227395827615645e-05, 2.7663553410914357e-05, 1.6355772691132674e-05, 1.49728377919796e-05, 5.756990166350795e-06, 2.469763317575403e-06]",2.8029720872465047,"[0.03553439673327479, 0.024695752421127353, 0.22503155243055512, 0.11534635412150503, 0.06818245465173776, 0.10964541930375202, 0.007609645272024043, 0.040657911792925425, 0.0928932985683677, 0.004302594429121795, 0.012164789951323921, 0.08824530734528115, 0.027986778320493195, 0.1452745666387555, 0.07846567143488406, 3.806472208744424e-05, 0.027066264408907068, 0.08149924861150239, 0.044307601259381074, 0.04340664274006257, 0.058818750939690176, 0.04498968695339989, 0.014622952258258418, 0.043974419406710666, 0.1674943578165636, 0.0586251363178439, 0.23375468085508666, 0.09790937297623342, 0.058798775650901754, 0.006237675495470573, 0.05593862888809604, 0.013296210099315526]"
classical_standard,37,0.7105545611717682,"[42.60233077742131, 19.837109215882062, 3.882366569326768, 2.053371786372563, 0.7297145567119194, 0.4726855696812488, 0.3245260340388084, 0.2994491535537434, 0.08164713450840753, 0.05787901913406613, 0.04169315885799606, 0.03871198120241796, 0.015561717840106017, 0.014242609718777206, 0.006216809371267736, 0.0055251517330078305, 0.004062865447117413, 0.002464693324773201, 0.001418249975918113, 0.0010311039721063028, 0.0006906940615584545, 0.0005343104766433398, 0.000386838311614808, 0.0002898628070595717, 0.00016946515013718582, 0.00014561997089431648, 0.00010812620618450147, 6.921351773138683e-05, 2.9703639238504672e-05, 1.333485183771887e-05, 9.70697374634912e-06, 1.9097583889185502e-06]",2.949817945669349,"[0.040702323836883325, 0.14635477606531927, 0.005854519032482394, 0.11186184576334893, 0.060755955854570116, 0.14450575738744012, 0.028826384033696514, 0.10369288712726439, 0.19378866773654238, 0.0671232216843642, 0.18495631540790253, 0.09071210140624433, 0.0055655430796234156, 0.0690790944327451, 0.014876274900906915, 0.05241763426266732, 0.0144038701237717, 0.13659574096554314, 0.021436589933784823, 0.035336899591659546, 0.11345095570022402, 0.006887269014277498, 0.16438502769653246, 0.08324053222557878, 0.06087011760219869, 0.02704674499348729, 0.028156861040964477, 0.029856268285365285, 0.15849314799499575, 0.17543867655452525, 0.06965081552119393, 0.15539287383621095]"
q0_separable,11,3.952281231602674e-17,"[22.255326545992812, 22.214732430559277]",1.999999166720446,"[2.497176582884496e-16, 2.0456596223806443e-16]"
q0_separable,23,1.4607642472458448e-17,"[22.244836924375996, 21.866579160270273]",1.9999264689036702,"[2.2180794995929288e-16, 2.1326482780290238e-16]"
q0_separable,37,2.702317162167633e-17,"[22.243488218210842, 22.164210301908604]",1.9999968129578516,"[2.273241497061281e-16, 2.0495696545980593e-16]"
q1_entangled,11,0.10715743194106765,"[22.346769685288127, 15.779643838704665]",1.9704039738476464,"[2.3597993112981754e-16, 3.7999180387525255]"
q1_entangled,23,0.07714399069727845,"[22.305699626358077, 15.889105510681839]",1.9718429794594736,"[2.384707230069895e-16, 3.7850865311634263]"
q1_entangled,37,0.2040388818850313,"[22.677600511052177, 15.311258166862334]",1.9625161639859496,"[2.411064002488979e-16, 3.8229374921789328]"
