model_id,seed,temperature_relative_l2,pde_residual_rms,active_phase_rmse,victim_phase_rmse,crosstalk_abs_error,trainable_parameters,quantum_parameters,gate_count,circuit_depth,runtime_seconds,final_training_loss
classical_matched,11,0.10960484560759828,0.11673583659984917,0.017660219150593286,0.006584579383496175,0.02184542508738574,343,0,0,0,0.14279775199247524,0.010408044943312768
classical_matched,23,0.3684050044203675,0.27611819502733426,0.05900918320987911,0.01683264348005321,0.12145073804389273,343,0,0,0,0.11457621201407164,0.06731431341224615
classical_matched,37,0.14429656704057328,0.2038192785925382,0.012830090927775392,0.015338232307385895,0.05482187236325653,343,0,0,0,0.12338424799963832,0.03971879935564411
classical_standard,11,0.12235471639651961,0.184976764957761,0.020591403951445045,0.007548577109964513,0.004737142628556401,2241,0,0,0,0.2593876020400785,0.026549206600144964
classical_standard,23,0.07810578034807798,0.1098202677952724,0.012303195846688536,0.003572063294191444,0.045134602887471176,2241,0,0,0,0.13823706499533728,0.008312754755286002
classical_standard,37,0.05988617075883565,0.10854691268733045,0.00928064448801277,0.004007378739663242,0.0077108372293285266,2241,0,0,0,0.14193481503752992,0.011309635031947892
q0_separable,11,0.1882530449784227,0.16596248989807577,0.027847259082525392,0.01565048065805444,0.06432368681312378,343,6,4,2,23.02706059598131,0.01952107543123809
q0_separable,23,0.11397820642091336,0.12519208743718543,0.015321938147754694,0.010629618924864697,0.026236768885334216,343,6,4,2,23.301116425020155,0.006966141163316848
q0_separable,37,0.06817526574656543,0.1391429469212911,0.010573673266613157,0.0031744651851286806,0.016445900375477884,343,6,4,2,23.12274785898626,0.01751516531778304
q1_entangled,11,0.23434535188089622,0.17750536628991204,0.032987693448433095,0.020893042190716624,0.04459339856469979,343,6,5,3,24.55019318399718,0.019747361893964015
q1_entangled,23,0.1835782959398122,0.14663023425294786,0.024708824834936326,0.016623369979879708,0.016161459752809915,343,6,5,3,24.60422129300423,0.011742575867892091
q1_entangled,37,0.223155068657835,0.1675321318116986,0.02957980014643349,0.021018524909443437,0.04542236473714878,343,6,5,3,24.401773040997796,0.03045955926613074
